seconds	V	A	mAh
12780	3.92	0.99	3137.69
12810	3.92	0.99	3145.94
12840	3.92	0.99	3154.19
12870	3.92	0.99	3162.44
12900	3.92	0.98	3170.61
12930	3.92	0.98	3178.78
12960	3.92	0.98	3186.94
12990	3.92	0.98	3195.11
13020	3.93	0.98	3203.28
13050	3.93	0.98	3211.44
13080	3.93	0.98	3219.61
13110	3.93	0.98	3227.78
13140	3.93	0.98	3235.94
13170	3.93	0.98	3244.11
13200	3.94	0.98	3252.28
13230	3.94	0.98	3260.44
13260	3.94	0.98	3268.61
13290	3.94	0.98	3276.78
13320	3.94	0.98	3284.94
13350	3.95	0.98	3293.11
13380	3.95	0.98	3301.28
13410	3.95	0.98	3309.44
13440	3.95	0.99	3317.69
13470	3.95	0.99	3325.94
13500	3.95	0.98	3334.11
13530	3.95	0.98	3342.28
13560	3.96	0.98	3350.44
13590	3.96	0.98	3358.61
13620	3.96	0.98	3366.78
13650	3.96	0.98	3374.94
13680	3.96	0.98	3383.11
13710	3.97	0.98	3391.28
13740	3.97	0.98	3399.44
13770	3.97	0.98	3407.61
13800	3.97	0.98	3415.78
13830	3.97	0.98	3423.94
13860	3.97	0.99	3432.19
13890	3.97	0.99	3440.44
13920	3.98	0.98	3448.61
13950	3.98	0.98	3456.78
13980	3.98	0.98	3464.94
14010	3.98	0.98	3473.11
14040	3.98	0.98	3481.28
14070	3.98	0.98	3489.44
14100	3.98	0.98	3497.61
14130	3.98	0.98	3505.78
14160	3.99	0.98	3513.94
14190	3.99	0.98	3522.11
14220	3.99	0.98	3530.28
14250	3.99	0.98	3538.44
14280	3.99	0.98	3546.61
14310	3.99	0.98	3554.78
14340	3.99	0.98	3562.94
14370	3.99	0.98	3571.11
14400	4.00	0.98	3579.28
14430	4.00	0.99	3587.53
14460	4.00	0.99	3595.78
14490	4.00	0.98	3603.94
14520	4.00	0.98	3612.11
14550	4.00	0.98	3620.28
14580	4.00	0.98	3628.44
14610	4.00	0.98	3636.61
14640	4.01	0.98	3644.78
14670	4.01	0.98	3652.94
14700	4.01	0.99	3661.19
14730	4.01	0.98	3669.36
14760	4.01	0.99	3677.61
14790	4.01	0.98	3685.78
14820	4.01	0.98	3693.94
14850	4.02	0.98	3702.11
14880	4.02	0.98	3710.28
14910	4.02	0.98	3718.44
14940	4.02	0.98	3726.61
14970	4.02	0.99	3734.86
15000	4.02	0.98	3743.03
15030	4.02	0.98	3751.19
15060	4.03	0.99	3759.44
15090	4.03	0.98	3767.61
15120	4.03	0.98	3775.78
15150	4.03	0.98	3783.94
15180	4.03	0.98	3792.11
15210	4.04	0.99	3800.36
15240	4.04	0.98	3808.53
15270	4.04	0.98	3816.69
15300	4.04	0.99	3824.94
15330	4.04	0.98	3833.11
15360	4.04	0.98	3841.28
15390	4.05	0.99	3849.53
15420	4.05	0.98	3857.69
15450	4.05	0.98	3865.86
15480	4.05	0.98	3874.03
15510	4.05	0.98	3882.19
15540	4.05	0.98	3890.36
15570	4.06	0.99	3898.61
15600	4.06	0.99	3906.86
15630	4.06	0.99	3915.11
15660	4.06	0.98	3923.28
